otu	sample	abundance	participant_id	study_week	semester	supplement_consumed	frequency	final_weight	phylum	class	order	family	genus
sv-340:U763-8_S343_L001_001	U518_3	0.0011061946902654867	U518	week1	Winter2018	BRMPS	2xdaily	0.45	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U507_6	0.0011013215859030838	U507	week3	Winter2018	BRMPS	2xdaily	0.53	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U518_2	0.001098901098901099	U518	week1	Winter2018	BRMPS	2xdaily	0.3	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U188_7	0.0010976948408342481	U188	week3	Winter2016	BRMPS	2xdaily	0.44	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U276_1	0.001095290251916758	U276	week1	Fall2016	BRMPS	1xdaily	0.51	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U276_2	0.0010940919037199124	U276	week1	Fall2016	BRMPS	1xdaily	0.45	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U546_2	0.0010905125408942203	U546	week1	Winter2018	BRMPS	2xdaily	0.31	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U188_6	0.001088139281828074	U188	week3	Winter2016	BRMPS	2xdaily	0.52	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U509_5	0.0010845986984815619	U509	week3	Winter2018	BRMPS	2xdaily	0.43	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U518_5	0.0010775862068965517	U518	week3	Winter2018	BRMPS	2xdaily	NA	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U188_5	0.001076426264800861	U188	week3	Winter2016	BRMPS	2xdaily	0.41	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U162_1	0.0010741138560687433	U162	week1	Winter2016	BRMPS	2xdaily	0.88	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U131_2	0.0010718113612004287	U131	week1	Winter2016	BRMPS	2xdaily	0.41	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
